ORIGINAL ORDER,MONTH,HABITAT,PLOP,SUB,TAG,INDICADOR,FAMILY,Nombre científico,GENERO,Especie,B,F,UF,RF,D,OBS,N,DATE,YEAR,TEMPERATURE,RAIN,GENERO_limpio,Rol_Agroforestal
71772,11,Bosque de Tierra Firme,TF5,1b,915,NO,Fabaceae,Inga sp. 2,Inga,sp,0,0,0,0,0,,0,2016-11-16,2016,25.09708333333333,449.96000000000015,Inga,Ingeniero del Suelo - Fijador N
71775,11,Bosque de Tierra Firme,TF5,1b,918,NO,Fabaceae,Inga cordistipula Mart.,Inga,cordistipula,0,0,0,0,0,,0,2016-11-16,2016,25.09708333333333,449.96000000000015,Inga,Ingeniero del Suelo - Fijador N
71780,11,Bosque de Tierra Firme,TF5,2a,923,NO,Malvaceae,Theobroma speciosum Willd. ex Spreng.,Theobroma,speciosum,2,0,0,0,0,,1,2016-11-16,2016,25.09708333333333,449.96000000000015,Theobroma,Estrella Comercial - Frutal
71787,11,Bosque de Tierra Firme,TF5,2a,930,NO,Apocynaceae,Aspidosperma rigidum Rusby,Aspidosperma,rigidum,3,0,0,0,0,,1,2016-11-16,2016,25.09708333333333,449.96000000000015,Aspidosperma,Caja Fuerte - Maderable
71788,11,Bosque de Tierra Firme,TF5,2b,934,NO,Fabaceae,Dipteryx micrantha Harms,Dipteryx,micrantha,0,0,0,0,0,desfoliado,0,2016-11-16,2016,25.09708333333333,449.96000000000015,Dipteryx,Estrella Comercial - Industrial
71795,11,Bosque de Tierra Firme,TF5,3a,942,NO,Fabaceae,Inga edulis Mart.,Inga,edulis,0,0,0,0,0,hojas nuevas,0,2016-11-16,2016,25.09708333333333,449.96000000000015,Inga,Ingeniero del Suelo - Fijador N
71799,11,Bosque de Tierra Firme,TF5,3a,946,NO,Fabaceae,Inga sp. 2,Inga,sp,0,0,0,0,0,muerto,0,2016-11-16,2016,25.09708333333333,449.96000000000015,Inga,Ingeniero del Suelo - Fijador N
71810,11,Bosque de Tierra Firme,TF5,3b,2632,NO,Arecaceae,Bactris gasipaes Kunth,Bactris,gasipaes,0,0,0,0,0,,0,2016-11-16,2016,25.09708333333333,449.96000000000015,Bactris,Estrella Comercial - Frutal
71813,11,Bosque de Tierra Firme,TF5,4a,965,NO,Fabaceae,Copaifera reticulata Ducke,Copaifera,reticulata,0,0,0,0,0,hojas nuevas,0,2016-11-16,2016,25.09708333333333,449.96000000000015,Copaifera,Estrella Comercial - Industrial
71816,11,Bosque de Tierra Firme,TF5,4a,968,NO,Sapotaceae,Pouteria sp. 3,Pouteria,sp,0,2,0,0,0,,1,2016-11-16,2016,25.09708333333333,449.96000000000015,Pouteria,Estrella Comercial - Frutal
71818,11,Bosque de Tierra Firme,TF5,4a,970,NO,Sapotaceae,Pouteria procera (Mart.) K.Hammer,Pouteria,procera,0,0,0,0,0,,0,2016-11-16,2016,25.09708333333333,449.96000000000015,Pouteria,Estrella Comercial - Frutal
71821,11,Bosque de Tierra Firme,TF5,4a,973,NO,Urticaceae,Cecropia sp. 1,Cecropia,sp,0,0,0,0,0,,0,2016-11-16,2016,25.09708333333333,449.96000000000015,Cecropia,Ingeniero del Suelo - Pionera
71826,11,Bosque de Tierra Firme,TF5,4a,978,NO,Fabaceae,Swartzia myrtifolia Sm.,Swartzia,myrtifolia,0,0,2,0,0,,1,2016-11-16,2016,25.09708333333333,449.96000000000015,Swartzia,Ingeniero del Suelo - Fijador N
71830,11,Bosque de Tierra Firme,TF5,4b,983,NO,Bignonaceae,Jacaranda copaia subsp. spectabilis (Mart. ex DC.) A.H.Gentry,Jacaranda,copaia subsp. spectabilis,0,0,0,0,0,,0,2016-11-16,2016,25.09708333333333,449.96000000000015,Jacaranda,Ingeniero del Suelo - Pionera
